latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
35.63588,-80.354931,1784,92,2025-01-07,1553,L8,OLI,H,D
35.135515,-80.366476,1761,1942,2025-01-07,1553,L8,OLI,M,D
35.534797,-80.370302,1740,466,2025-01-07,1553,L8,OLI,H,D
35.535068,-80.3703,1740,465,2025-01-07,1553,L8,OLI,H,D
35.534799,-80.370633,1739,466,2025-01-07,1553,L8,OLI,H,D
35.53507,-80.370631,1739,465,2025-01-07,1553,L8,OLI,M,D
35.531123,-80.392171,1674,480,2025-01-07,1553,L8,OLI,H,D
35.167582,-80.395217,1673,1824,2025-01-07,1553,L8,OLI,H,D
35.531124,-80.392501,1673,480,2025-01-07,1553,L8,OLI,H,D
35.531126,-80.392832,1672,480,2025-01-07,1553,L8,OLI,L,D
34.229825,-80.431644,1582,5291,2025-01-07,1553,L8,OLI,M,D
35.226882,-80.464997,1460,1606,2025-01-07,1553,L8,OLI,H,D
35.227153,-80.464995,1460,1605,2025-01-07,1553,L8,OLI,M,D
34.151335,-80.486517,1415,5582,2025-01-07,1553,L8,OLI,M,D
34.151606,-80.486516,1415,5581,2025-01-07,1553,L8,OLI,H,D
34.151337,-80.486843,1414,5582,2025-01-07,1553,L8,OLI,M,D
34.151607,-80.486841,1414,5581,2025-01-07,1553,L8,OLI,H,D
34.264569,-80.521676,1305,5164,2025-01-07,1553,L8,OLI,H,D
33.864698,-80.526512,1297,6642,2025-01-07,1553,L8,OLI,H,D
33.864969,-80.52651,1297,6641,2025-01-07,1553,L8,OLI,H,D
33.964847,-80.536673,1264,6272,2025-01-07,1553,L8,OLI,M,D
33.965118,-80.536672,1264,6271,2025-01-07,1553,L8,OLI,H,D
33.965119,-80.536997,1263,6271,2025-01-07,1553,L8,OLI,M,D
35.178338,-80.570088,1142,1787,2025-01-07,1553,L8,OLI,M,D
35.178609,-80.570087,1142,1786,2025-01-07,1553,L8,OLI,H,D
35.019624,-80.592952,1075,2374,2025-01-07,1553,L8,OLI,M,D
34.63515,-80.664557,862,3796,2025-01-07,1553,L8,OLI,H,D
34.635421,-80.664556,862,3795,2025-01-07,1553,L8,OLI,H,D
34.635155,-80.666194,857,3796,2025-01-07,1553,L8,OLI,H,D
34.635425,-80.666193,857,3795,2025-01-07,1553,L8,OLI,M,D
34.136961,-80.729988,667,5638,2025-01-07,1553,L8,OLI,L,D
34.595335,-80.759593,572,3944,2025-01-07,1553,L8,OLI,H,D
34.083823,-80.818605,395,5835,2025-01-07,1553,L8,OLI,H,D
34.083553,-80.81893,394,5836,2025-01-07,1553,L8,OLI,M,D
34.083823,-80.81893,394,5835,2025-01-07,1553,L8,OLI,H,D
35.119583,-78.504349,6248,7222,2025-01-07,1553,L8,OLI,H,D
36.34502,-78.208785,7017,2666,2025-01-07,1553,L8,OLI,M,D
36.654433,-78.225498,6934,1523,2025-01-07,1553,L8,OLI,H,D
36.654441,-78.225833,6933,1523,2025-01-07,1553,L8,OLI,H,D
36.406162,-78.245396,6901,2443,2025-01-07,1553,L8,OLI,M,D
36.406432,-78.245386,6901,2442,2025-01-07,1553,L8,OLI,H,D
36.406702,-78.245377,6901,2441,2025-01-07,1553,L8,OLI,M,D
36.40644,-78.245721,6900,2442,2025-01-07,1553,L8,OLI,M,D
35.85454,-78.326729,6714,4490,2025-01-07,1553,L8,OLI,H,D
35.85481,-78.326719,6714,4489,2025-01-07,1553,L8,OLI,H,D
35.854547,-78.32706,6713,4490,2025-01-07,1553,L8,OLI,H,D
35.854817,-78.327051,6713,4489,2025-01-07,1553,L8,OLI,H,D
35.895027,-78.335669,6683,4341,2025-01-07,1553,L8,OLI,L,D
35.735889,-78.365857,6608,4932,2025-01-07,1553,L8,OLI,H,D
35.736159,-78.365848,6608,4931,2025-01-07,1553,L8,OLI,H,D
35.735896,-78.366189,6607,4932,2025-01-07,1553,L8,OLI,M,D
35.736167,-78.36618,6607,4931,2025-01-07,1553,L8,OLI,H,D
35.588497,-78.402146,6513,5480,2025-01-07,1553,L8,OLI,L,D
35.710565,-78.407471,6485,5029,2025-01-07,1553,L8,OLI,H,D
35.710835,-78.407462,6485,5028,2025-01-07,1553,L8,OLI,H,D
35.710572,-78.407802,6484,5029,2025-01-07,1553,L8,OLI,H,D
35.710842,-78.407794,6484,5028,2025-01-07,1553,L8,OLI,H,D
35.855293,-78.423025,6424,4495,2025-01-07,1553,L8,OLI,H,D
35.855563,-78.423017,6424,4494,2025-01-07,1553,L8,OLI,H,D
35.85557,-78.423349,6423,4494,2025-01-07,1553,L8,OLI,M,D
35.809225,-78.456383,6328,4668,2025-01-07,1553,L8,OLI,H,D
35.809495,-78.456375,6328,4667,2025-01-07,1553,L8,OLI,H,D
35.810036,-78.456358,6328,4665,2025-01-07,1553,L8,OLI,H,D
35.810306,-78.456349,6328,4664,2025-01-07,1553,L8,OLI,H,D
35.809232,-78.456715,6327,4668,2025-01-07,1553,L8,OLI,H,D
35.809502,-78.456707,6327,4667,2025-01-07,1553,L8,OLI,H,D
35.810313,-78.456681,6327,4664,2025-01-07,1553,L8,OLI,M,D
35.929981,-78.463823,6294,4222,2025-01-07,1553,L8,OLI,H,D
35.929988,-78.464155,6293,4222,2025-01-07,1553,L8,OLI,H,D
35.119577,-78.50402,6249,7222,2025-01-07,1553,L8,OLI,H,D
35.531123,-80.392171,504,5790,2025-01-07,1553,L8,OLI,H,D
36.001685,-80.376597,540,4050,2025-01-07,1553,L8,OLI,H,D
35.53507,-80.370631,569,5775,2025-01-07,1553,L8,OLI,M,D
35.534799,-80.370633,569,5776,2025-01-07,1553,L8,OLI,H,D
35.535068,-80.3703,570,5775,2025-01-07,1553,L8,OLI,H,D
35.534797,-80.370302,570,5776,2025-01-07,1553,L8,OLI,H,D
35.63588,-80.354931,614,5402,2025-01-07,1553,L8,OLI,H,D
35.635609,-80.354933,614,5403,2025-01-07,1553,L8,OLI,H,D
35.503745,-80.330188,692,5890,2025-01-07,1553,L8,OLI,M,D
35.854443,-80.179402,1137,4590,2025-01-07,1553,L8,OLI,M,D
35.854172,-80.179405,1137,4591,2025-01-07,1553,L8,OLI,H,D
35.85444,-80.17907,1138,4590,2025-01-07,1553,L8,OLI,H,D
35.85417,-80.179073,1138,4591,2025-01-07,1553,L8,OLI,H,D
35.853899,-80.179076,1138,4592,2025-01-07,1553,L8,OLI,M,D
36.035363,-80.031011,1577,3917,2025-01-07,1553,L8,OLI,H,D
36.035092,-80.031014,1577,3918,2025-01-07,1553,L8,OLI,H,D
36.03536,-80.030678,1578,3917,2025-01-07,1553,L8,OLI,H,D
35.900305,-80.019362,1617,4416,2025-01-07,1553,L8,OLI,H,D
36.615411,-79.841306,2121,1766,2025-01-07,1553,L8,OLI,H,D
36.615141,-79.84131,2121,1767,2025-01-07,1553,L8,OLI,H,D
36.615408,-79.840971,2122,1766,2025-01-07,1553,L8,OLI,H,D
36.615137,-79.840975,2122,1767,2025-01-07,1553,L8,OLI,H,D
36.233784,-79.83795,2148,3177,2025-01-07,1553,L8,OLI,L,D
36.23351,-79.83762,2149,3178,2025-01-07,1553,L8,OLI,H,D
36.270874,-79.814355,2217,3039,2025-01-07,1553,L8,OLI,H,D
36.270604,-79.81436,2217,3040,2025-01-07,1553,L8,OLI,H,D
36.270871,-79.814021,2218,3039,2025-01-07,1553,L8,OLI,H,D
36.270601,-79.814026,2218,3040,2025-01-07,1553,L8,OLI,H,D
35.382636,-79.784889,2346,6322,2025-01-07,1553,L8,OLI,M,D
35.382633,-79.784559,2347,6322,2025-01-07,1553,L8,OLI,H,D
36.451895,-79.693771,2569,2365,2025-01-07,1553,L8,OLI,L,D
36.452162,-79.693432,2570,2364,2025-01-07,1553,L8,OLI,H,D
